,degree,closeness,betweenness,eigenvector,pagerank
beachhermit,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
fhj,0.0002831791580139702,0.21716581596047804,0.0007999188126252637,0.00016468400811289776,0.00010182932019130411
ty-nelsen,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
msmistds,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
bluecatadk,0.00018878610534264677,0.21483614536015574,9.440196356084206e-05,0.00015276758905290527,8.522936793733779e-05
angidell66,9.439305267132339e-05,0.1768466739003422,0.0,5.011349664852493e-06,4.999466370678856e-05
della1,0.00018878610534264677,0.21483614536015574,4.720098178042103e-05,0.00015293223746279627,7.580944087845238e-05
jorichardskent,0.0002831791580139702,0.2263239975218441,0.0005380869991909312,0.00037229860071054323,9.640316660695792e-05
keyoko,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
chrismontrose,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
edwardhotspur,0.00018878610534264677,0.21483614536015574,9.440196356084206e-05,0.00015276758905290527,8.522936793733779e-05
kaystuff,9.439305267132339e-05,0.1768466739003422,0.0,5.011349664852493e-06,4.999466370678856e-05
mistywaves,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
masim29,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
bobi86,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
bob-fisher,0.0002831791580139702,0.245532713746031,0.0005911253669100976,0.0031626453886548973,9.747577438738019e-05
plutoniary,0.00037757221068529355,0.22351625630314154,0.00040036247837473975,0.00017255244166240337,0.00012542268459597556
annabell8789,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
halcarver1776,0.00018878610534264677,0.2244396423880344,0.0005515882232203778,0.0006717535885114859,7.207916435011673e-05
thinkingitover,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
merrymcghee,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
chadg72,0.0002831791580139702,0.22443488761307545,0.00047992895893131203,0.000367618550681367,9.62047881897074e-05
theshiveringtruth,0.0002831791580139702,0.23313234452708947,0.0006193660496507417,0.0005995342461238894,9.842039232886545e-05
sfmisfit,0.00037757221068529355,0.22743178549193876,0.0004879259406891532,0.0005922092165542489,0.00013078912242310897
mence80,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
jaredthemetalcat,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
mechatardigrade,0.00037757221068529355,0.22648366683769455,0.000686424513979086,0.00038988762228759965,0.0001249035073188869
michaelmufasa,0.0002831791580139702,0.21560566590687072,0.0007462237125566295,0.00018355003599990538,0.00011158079155718918
claire1965,0.00037757221068529355,0.22779366546971425,0.0011179802584202175,0.0006828584874420276,0.00013701720648052982
roseyroseamund,9.439305267132339e-05,0.18553415061295972,0.0,2.2401519935400257e-05,4.293386763126123e-05
chers3bears,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
ledman54,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
kimba6,0.00018878610534264677,0.2426255038475632,0.0002796780602753023,0.0029851572889581734,6.971212379878393e-05
ifyoucankeepitnot,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
bobanton71,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
trixieshakewell,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
nogodsamongus,0.00018878610534264677,0.21649568806964484,0.00011406857415150576,0.00015810784614941567,7.315785381103346e-05
gusman74,0.0002831791580139702,0.22799466276417166,0.0006049640146943394,0.00042576510561472745,0.00010496159608510501
lynette40,0.00037757221068529355,0.22924781442049685,0.0025283767986956267,0.00042967909474490054,0.0001318041921821818
gingerresists196,0.0002831791580139702,0.20310972219559423,1.5923765316737212e-05,6.0634717012373366e-05,9.446352513158381e-05
suebee10,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
xm4290746,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
lloyd60,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
sins-a-lot,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
seoigh1,0.00018878610534264677,0.21483614536015574,4.720098178042103e-05,0.00015293223746279627,7.580944087845238e-05
marquisr,0.00018878610534264677,0.17685257833497486,0.0,1.0033501541798706e-05,7.782462473446725e-05
jt-allen,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
delevenz,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
stanbark007,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
fortunasaga.com,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
proofneeded,0.00018878610534264677,0.22403146675689392,0.0003535770429075534,0.0003522835592414241,7.171810652335967e-05
savingdemocracy101,0.0005663583160279403,0.2510367052913438,0.0017569885124874129,0.023966173908877567,0.0001826268451078493
maryhilt,0.00037757221068529355,0.2402703438265445,0.0007108098377529935,0.0012983416393405136,0.00012420945920944718
southernfriedtarot,0.00037757221068529355,0.22094308536152996,0.0015873910071805913,0.0003068188551883248,0.00012848626648403303
roam85gaming,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
calvinandhobbes69,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
davis23patrice,0.00037757221068529355,0.23476488055666356,0.0020813514797625612,0.0010961093662073744,0.00013050637193954236
kfanyo,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
pjofcolorado,0.0004719652633566169,0.2258944944347307,0.0003486437981497882,0.0003368339244014904,0.00016243207275978022
antifaalway,0.0002831791580139702,0.21692124984643105,0.0001374985829862852,0.00017765772129540566,9.519408603658196e-05
lady-annabelle,9.439305267132339e-05,0.18427232088500808,0.0,1.10490595999875e-05,4.153562672787968e-05
protestspb,0.00018878610534264677,0.1881538051682799,9.126796045012276e-06,1.685329734534715e-05,6.956924534633912e-05
laserjockaz,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
mlou78,0.0002831791580139702,0.22870836121845384,0.0006611739390450957,0.0005229753948606543,9.937273793119577e-05
kaw16,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
tealady-centralnc,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
judymccarthy,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
ink-witch,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
bazinga987,0.00037757221068529355,0.2530756551444065,0.002307830930066091,0.023211287551537566,0.0001241602885685767
amandapatperez,0.0009439305267132338,0.2485162682680804,0.003220473940945445,0.0015733510454724567,0.0002933907722484933
andyinscotland,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
thelaughingman-dm,0.00037757221068529355,0.23099733984562382,0.003930651520985702,0.0003957293832994384,0.00013145248747168073
benfunks,0.00018878610534264677,0.21483614536015574,9.440196356084206e-05,0.00015276758905290527,8.522936793733779e-05
btucker,9.439305267132339e-05,0.1768466739003422,0.0,5.011349664852493e-06,4.999466370678856e-05
sirocco52,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
spiderlegsmusic,0.00018878610534264677,0.2224275126498562,0.00018884089385892285,0.00046022297592086467,7.070339078242743e-05
karatechrisp,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
chrispetrie,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
eddiegaedel,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
hikercorey,0.0002831791580139702,0.23468687002946323,0.000776924621128431,0.0007388049822693676,9.828303417207201e-05
johnmd1968,0.0002831791580139702,0.22357286060989764,0.0007826624781234184,0.00032247305889317337,9.596752808944015e-05
kristybobisty,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
dottiedino,0.00018878610534264677,0.22699320777356388,2.7649442691378148e-06,0.0009060687336164396,7.411650992241082e-05
deliriumbob,0.00018878610534264677,0.24506696893289226,2.694673449012105e-05,0.022966118907122034,7.50092653656891e-05
worldbefree67,0.0006607513686992637,0.2248015957221067,0.0033073053665264676,0.00035144995739226295,0.0002298530285246957
theferalhermit,9.439305267132339e-05,0.1835444134513765,0.0,1.1529441204400486e-05,4.171813182827015e-05
ricmthegm,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
lxxxvi-xlvii-now,0.0002831791580139702,0.23324013121683804,0.0008700875759430582,0.000714700595370474,9.86484142470662e-05
flitzemoppel,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
narin-niran,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
jcmack1022,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
toireasaoflinn,0.00018878610534264677,0.21550917449855567,5.8134487656737856e-05,0.00017844065087429322,7.592131674449742e-05
aaluria,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
rbtec,0.00018878610534264677,0.21960117739728868,0.0010051347332113492,0.00024567469410540237,7.394550084760954e-05
slickster0353,0.00018878610534264677,0.2426255038475632,0.0002796780602753023,0.0029851572889581734,6.971212379878393e-05
katvanzan,0.00018878610534264677,0.21500619000263838,0.00015086448757595694,0.00017844673218179712,7.742413101295855e-05
blackirishscot,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
johnnytequila,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
the-oc,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
seminefrius,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
dennishutton,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
tygator,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
sneadly,0.0002831791580139702,0.24738464412478983,0.000823475426259404,0.0032398799247421893,9.799071532378882e-05
pamballard3,0.00018878610534264677,0.2426255038475632,0.0002796780602753023,0.0029851572889581734,6.971212379878393e-05
peaceloveandcats,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
defunctradio,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
scotty0l0,0.00018878610534264677,0.22675513698630137,0.000530897964400012,0.00027833122112114715,7.194638612316983e-05
douglas-short,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
hrdbmw,0.00018878610534264677,0.2260342657193454,0.00045058541862563273,0.0003642455573278838,7.073950034933987e-05
kittenclaws48,0.00018878610534264677,0.21794317924664156,2.9932975416544076e-05,0.0001698362776978108,7.492748138089381e-05
sarkozy,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
nomagaallowed,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
dodgezen,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
rayalexander73,0.0002831791580139702,0.22993944392594362,0.0011196181201957012,0.0005736885991817743,0.00010033281719089395
mdit,0.00037757221068529355,0.24316569880873137,0.001411895257851814,0.0011657081496757318,0.0001244979090996336
polib66,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
hubertlaneite,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
timeforsanity,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
silverisblack,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
lewtwin,0.00018878610534264677,0.2310527578460666,0.0006748162957118792,0.0008651132732003908,7.129077603852998e-05
0utr1d3r,0.00018878610534264677,0.2310527578460666,0.0006748162957118792,0.0008651132732003908,7.129077603852998e-05
illuminati-ganga,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
mennowitteveen,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
thebluemoose,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
claudecowan1,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
sanharan30,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
scoutpaint,0.00018878610534264677,0.22153447230296314,0.0001954947865633157,0.0002827145034175986,6.914012224998928e-05
odin1963,0.0002831791580139702,0.23006927704302127,0.0007234510255087212,0.0005723689877977106,9.852370412639329e-05
mikerobertson1970,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
imtailor,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
okieblue54,0.0005663583160279403,0.2216688985604285,0.0006780637681662639,0.0001656919108957098,0.00020022419577947942
