,Louvain,Leiden,Infomap,LabelProp
Louvain,1.0,0.8977370064193961,0.8509813059626467,0.7622999629182066
Leiden,0.8977370064193961,1.0,0.8304719829897081,0.767792583092381
Infomap,0.8509813059626467,0.8304719829897081,1.0,0.8762873302797446
LabelProp,0.7622999629182066,0.767792583092381,0.8762873302797446,1.0
