,Louvain,Leiden,Infomap,LabelProp
Louvain,1.0,0.8458434974872527,0.6355549701926082,0.5421559705907335
Leiden,0.8458434974872527,1.0,0.6249495952246682,0.5534143709637588
Infomap,0.6355549701926082,0.6249495952246682,1.0,0.6972742292152565
LabelProp,0.5421559705907335,0.5534143709637588,0.6972742292152565,1.0
